Reporter,Partner,Trade Flow,Trade Value (US$),Netweight (kg),Value_Per_Kg
Armenia,Belgium,Imports,683413,1342.0,509.2496274217586
Armenia,Bulgaria,Imports,278008,252.0,1103.2063492063492
Armenia,China,Imports,96225,136.0,707.5367647058823
Armenia,Estonia,Imports,37249,6.0,6208.166666666667
Armenia,France,Imports,1893499,1563.0,1211.4516954574535
Armenia,India,Imports,6900,16.0,431.25
Armenia,Latvia,Imports,13216,2.0,6608.0
Armenia,Netherlands,Imports,229441,166.0,1382.1746987951808
Armenia,Rep. of Korea,Imports,272821,1817.0,150.1491469455146
Armenia,Russian Federation,Imports,117217,345.0,339.7594202898551
Armenia,United Kingdom,Imports,300062,655.0,458.10992366412216
Armenia,United States of America,Imports,460470,173.0,2661.676300578035
Australia,Argentina,Exports,652125,3125.0,208.68
Australia,Austria,Imports,682835,0.0,0.0
Australia,Belgium,Imports,106652907,0.0,0.0
Australia,Brunei Darussalam,Exports,5489,14.0,392.07142857142856
Australia,Canada,Imports,5430953,0.0,0.0
Australia,Christmas Isds,Exports,12083,33.0,366.1515151515151
Australia,Denmark,Imports,3929261,0.0,0.0
Australia,Fiji,Exports,89486,470.0,190.39574468085107
Australia,France,Imports,30640965,0.0,0.0
Australia,French Polynesia,Exports,1704,6.0,284.0
Australia,Germany,Exports,27429398,9145.0,2999.3874248223074
Australia,Germany,Imports,6552650,0.0,0.0
Australia,Hungary,Exports,4858,13.0,373.6923076923077
Australia,India,Imports,24103,0.0,0.0
Australia,Indonesia,Exports,82545,172.0,479.91279069767444
Australia,Ireland,Imports,45152376,0.0,0.0
Australia,Israel,Imports,4118795,0.0,0.0
Australia,Italy,Exports,4849,1.0,4849.0
Australia,Italy,Imports,31785915,0.0,0.0
Australia,Japan,Exports,9890,30.0,329.6666666666667
Australia,Kiribati,Exports,9360,42.0,222.85714285714286
Australia,Lebanon,Exports,4883,18.0,271.27777777777777
Australia,Nauru,Exports,11406,4001.0,2.8507873031742066
Australia,Netherlands,Imports,2113872,0.0,0.0
Australia,New Zealand,Exports,2884460,22467.0,128.38652245515644
Australia,Papua New Guinea,Exports,1068155,12533.0,85.2273996648847
Australia,Peru,Exports,85190,1289.0,66.0899922420481
Australia,Poland,Imports,1237,0.0,0.0
Australia,Rep. of Korea,Imports,37707,0.0,0.0
Australia,Samoa,Exports,154,3.0,51.333333333333336
Australia,Singapore,Exports,263601,124.0,2125.814516129032
Australia,South Africa,Exports,223752,2094.0,106.8538681948424
